source,time,value,unit
Noah’s Apple Watch,3512,45.0,count/min
Noah’s Apple Watch,3519,45.0,count/min
Noah’s Apple Watch,3522,46.0,count/min
Noah’s Apple Watch,3529,48.0,count/min
Noah’s Apple Watch,3533,48.0,count/min
Noah’s Apple Watch,3541,49.0,count/min
Noah’s Apple Watch,3544,49.0,count/min
Noah’s Apple Watch,3549,51.0,count/min
Noah’s Apple Watch,3553,52.0,count/min
Noah’s Apple Watch,3558,48.0,count/min
Noah’s Apple Watch,3567,49.0,count/min
Noah’s Apple Watch,3568,50.0,count/min
Noah’s Apple Watch,3573,49.0,count/min
Noah’s Apple Watch,3580,46.0,count/min
Noah’s Apple Watch,3583,48.0,count/min
Noah’s Apple Watch,3588,50.0,count/min
Noah’s Apple Watch,3595,49.0,count/min
Noah’s Apple Watch,3599,50.0,count/min
Noah’s Apple Watch,3604,52.0,count/min
Noah’s Apple Watch,3611,45.0,count/min
Noah’s Apple Watch,3613,46.0,count/min
Noah’s Apple Watch,3619,48.0,count/min
Noah’s Apple Watch,3625,47.0,count/min
Noah’s Apple Watch,3631,50.0,count/min
Noah’s Apple Watch,3635,52.0,count/min
Noah’s Apple Watch,3640,51.0,count/min
Noah’s Apple Watch,3644,49.0,count/min
Noah’s Apple Watch,3650,50.0,count/min
Noah’s Apple Watch,3654,49.0,count/min
Noah’s Apple Watch,3660,86.0,count/min
Noah’s Apple Watch,3662,69.0,count/min
Noah’s Apple Watch,3669,94.0,count/min
Noah’s Apple Watch,3672,101.0,count/min
Noah’s Apple Watch,3675,91.0,count/min
Noah’s Apple Watch,3678,74.0,count/min
Noah’s Apple Watch,3684,84.0,count/min
Noah’s Apple Watch,3688,84.34214285714286,count/min
Noah’s Apple Watch,3699,104.237,count/min
Noah’s Apple Watch,3709,111.752,count/min
Noah’s Apple Watch,3718,111.139,count/min
Noah’s Apple Watch,3727,107.5,count/min
Noah’s Apple Watch,4901,57.0,count/min
Noah’s Apple Watch,4902,55.6417,count/min
Noah’s Apple Watch,5571,56.0,count/min
Noah’s Apple Watch,5574,49.0,count/min
Noah’s Apple Watch,5609,79.0,count/min
Noah’s Apple Watch,5618,137.0,count/min
Noah’s Apple Watch,5621,62.0,count/min
Noah’s Apple Watch,5625,56.0,count/min
Noah’s Apple Watch,5631,103.66666666666667,count/min
Noah’s Apple Watch,5632,94.66666666666667,count/min
Noah’s Apple Watch,5633,88.45454545454545,count/min
Noah’s Apple Watch,5634,84.41666666666667,count/min
Noah’s Apple Watch,5635,82.0,count/min
Noah’s Apple Watch,5637,81.0,count/min
Noah’s Apple Watch,5639,78.0,count/min
Noah’s Apple Watch,5645,75.8161,count/min
Noah’s Apple Watch,5648,75.0,count/min
Noah’s Apple Watch,5651,91.2,count/min
Noah’s Apple Watch,5652,94.53846153846153,count/min
Noah’s Apple Watch,5653,94.5,count/min
Noah’s Apple Watch,5660,80.0,count/min
Noah’s Apple Watch,5663,75.0,count/min
Noah’s Apple Watch,5664,87.7918,count/min
Noah’s Apple Watch,5671,89.0,count/min
Noah’s Apple Watch,5674,68.0,count/min
Noah’s Apple Watch,5681,84.0,count/min
Noah’s Apple Watch,5684,73.0,count/min
Noah’s Apple Watch,5689,76.0,count/min
Noah’s Apple Watch,5695,82.0,count/min
Noah’s Apple Watch,5700,84.0,count/min
Noah’s Apple Watch,5705,71.0,count/min
Noah’s Apple Watch,5711,80.0,count/min
Noah’s Apple Watch,5716,73.0,count/min
Noah’s Apple Watch,5721,63.0,count/min
Noah’s Apple Watch,5723,70.0,count/min
Noah’s Apple Watch,5729,62.0,count/min
Noah’s Apple Watch,5735,69.0,count/min
Noah’s Apple Watch,5739,64.0,count/min
Noah’s Apple Watch,5742,66.0,count/min
Noah’s Apple Watch,5750,60.0,count/min
Noah’s Apple Watch,5755,65.0,count/min
Noah’s Apple Watch,5766,78.0,count/min
Noah’s Apple Watch,5768,64.0,count/min
Noah’s Apple Watch,5774,76.0,count/min
Noah’s Apple Watch,5775,84.0,count/min
Noah’s Apple Watch,5782,85.0,count/min
Noah’s Apple Watch,5786,77.0,count/min
Noah’s Apple Watch,5789,83.0,count/min
Noah’s Apple Watch,5794,97.0,count/min
Noah’s Apple Watch,5798,44.0,count/min
Noah’s Apple Watch,5805,83.0,count/min
Noah’s Apple Watch,5809,79.0,count/min
Noah’s Apple Watch,5816,70.0,count/min
Noah’s Apple Watch,5817,65.0,count/min
Noah’s Apple Watch,5823,63.0,count/min
Noah’s Apple Watch,5828,59.0,count/min
Noah’s Apple Watch,5837,64.0,count/min
Noah’s Apple Watch,5838,59.0,count/min
Noah’s Apple Watch,5843,58.0,count/min
Noah’s Apple Watch,5847,58.0,count/min
Noah’s Apple Watch,5853,55.0,count/min
Noah’s Apple Watch,5857,56.0,count/min
Noah’s Apple Watch,5862,55.0,count/min
Noah’s Apple Watch,5867,54.3884,count/min
Noah’s Apple Watch,5869,55.0,count/min
Noah’s Apple Watch,5872,55.0,count/min
Noah’s Apple Watch,5877,57.0,count/min
Noah’s Apple Watch,5883,73.0,count/min
Noah’s Apple Watch,5886,98.0,count/min
Noah’s Apple Watch,5889,95.0,count/min
Noah’s Apple Watch,5892,56.0,count/min
Noah’s Apple Watch,5897,69.0,count/min
Noah’s Apple Watch,5901,65.0,count/min
Noah’s Apple Watch,5905,74.0,count/min
Noah’s Apple Watch,5910,68.0,count/min
Noah’s Apple Watch,5917,66.0,count/min
Noah’s Apple Watch,5920,66.0,count/min
Noah’s Apple Watch,5927,64.0,count/min
Noah’s Apple Watch,5928,64.0,count/min
Noah’s Apple Watch,5932,99.0,count/min
Noah’s Apple Watch,5936,56.0,count/min
Noah’s Apple Watch,5941,68.0,count/min
Noah’s Apple Watch,5943,64.0,count/min
Noah’s Apple Watch,5950,67.0,count/min
Noah’s Apple Watch,5954,64.0,count/min
Noah’s Apple Watch,5958,69.0,count/min
Noah’s Apple Watch,5967,64.0,count/min
Noah’s Apple Watch,5970,64.0,count/min
Noah’s Apple Watch,5975,72.0,count/min
Noah’s Apple Watch,5982,66.0,count/min
Noah’s Apple Watch,5983,60.0,count/min
Noah’s Apple Watch,5988,62.0,count/min
Noah’s Apple Watch,5994,63.0,count/min
Noah’s Apple Watch,6000,59.0,count/min
Noah’s Apple Watch,6007,59.0,count/min
Noah’s Apple Watch,6008,55.0,count/min
Noah’s Apple Watch,6014,58.0,count/min
Noah’s Apple Watch,6021,59.0,count/min
Noah’s Apple Watch,6027,68.0,count/min
Noah’s Apple Watch,6030,62.0,count/min
Noah’s Apple Watch,6033,75.0,count/min
Noah’s Apple Watch,6036,104.81818181818181,count/min
Noah’s Apple Watch,6037,87.8,count/min
Noah’s Apple Watch,6042,88.0,count/min
Noah’s Apple Watch,6045,63.0,count/min
Noah’s Apple Watch,6048,63.0,count/min
Noah’s Apple Watch,6054,59.0,count/min
Noah’s Apple Watch,6057,61.0,count/min
Noah’s Apple Watch,6065,64.0,count/min
Noah’s Apple Watch,6071,61.0,count/min
Noah’s Apple Watch,6076,62.0,count/min
Noah’s Apple Watch,6079,59.0,count/min
Noah’s Apple Watch,6082,57.0,count/min
Noah’s Apple Watch,6092,74.0,count/min
Noah’s Apple Watch,6100,64.0,count/min
Noah’s Apple Watch,6104,60.0,count/min
Noah’s Apple Watch,6112,81.0,count/min
Noah’s Apple Watch,6116,76.0,count/min
Noah’s Apple Watch,6118,106.0,count/min
Noah’s Apple Watch,6146,71.0,count/min
Noah’s Apple Watch,6148,79.0,count/min
Noah’s Apple Watch,6154,118.0,count/min
Noah’s Apple Watch,6157,90.0,count/min
Noah’s Apple Watch,6621,89.0,count/min
Noah’s Apple Watch,6622,119.55555555555556,count/min
Noah’s Apple Watch,6623,120.6923076923077,count/min
Noah’s Apple Watch,6624,129.63636363636363,count/min
Noah’s Apple Watch,6625,121.16666666666667,count/min
Noah’s Apple Watch,6626,106.5,count/min
