start,end,textvalue,value
2023-07-18 04:57:14 -0400,2023-07-18 05:47:44 -0400,AsleepUnspecified,1
2023-07-18 05:54:44 -0400,2023-07-18 06:42:44 -0400,AsleepUnspecified,1
2023-07-18 06:44:14 -0400,2023-07-18 07:57:44 -0400,AsleepUnspecified,1
2023-07-18 00:46:13 -0400,2023-07-18 08:00:26 -0400,InBed,0
2023-07-18 22:42:33 -0400,2023-07-18 23:04:52 -0400,InBed,0
2023-07-18 23:04:58 -0400,2023-07-18 23:10:54 -0400,InBed,0
2023-07-18 23:13:15 -0400,2023-07-18 23:16:37 -0400,InBed,0
2023-07-18 23:23:03 -0400,2023-07-18 23:29:21 -0400,InBed,0
2023-07-18 23:29:27 -0400,2023-07-19 00:15:48 -0400,InBed,0
2023-07-19 00:15:51 -0400,2023-07-19 00:53:02 -0400,InBed,0
2023-07-19 00:53:07 -0400,2023-07-19 00:58:44 -0400,InBed,0
2023-07-19 00:58:50 -0400,2023-07-19 01:14:06 -0400,InBed,0
2023-07-19 01:16:21 -0400,2023-07-19 01:16:28 -0400,InBed,0
2023-07-19 01:30:47 -0400,2023-07-19 01:55:47 -0400,AsleepCore,1
2023-07-19 01:55:47 -0400,2023-07-19 02:24:47 -0400,AsleepDeep,1
2023-07-19 01:30:47 -0400,2023-07-19 02:24:47 -0400,InBed,0
2023-07-19 02:24:47 -0400,2023-07-19 02:25:47 -0400,Awake,0
2023-07-19 02:25:47 -0400,2023-07-19 02:30:17 -0400,AsleepCore,1
2023-07-19 02:30:17 -0400,2023-07-19 02:43:47 -0400,AsleepREM,1
2023-07-19 02:25:47 -0400,2023-07-19 02:43:47 -0400,InBed,0
2023-07-19 02:43:47 -0400,2023-07-19 02:44:17 -0400,Awake,0
2023-07-19 02:44:17 -0400,2023-07-19 03:09:47 -0400,AsleepCore,1
2023-07-19 03:09:47 -0400,2023-07-19 03:46:47 -0400,AsleepDeep,1
2023-07-19 03:46:47 -0400,2023-07-19 03:47:17 -0400,AsleepCore,1
2023-07-19 02:44:17 -0400,2023-07-19 03:47:17 -0400,InBed,0
2023-07-19 03:47:17 -0400,2023-07-19 03:49:17 -0400,Awake,0
2023-07-19 03:49:17 -0400,2023-07-19 03:55:17 -0400,AsleepCore,1
2023-07-19 03:55:17 -0400,2023-07-19 04:14:17 -0400,AsleepREM,1
2023-07-19 04:14:17 -0400,2023-07-19 05:13:17 -0400,AsleepCore,1
2023-07-19 03:49:17 -0400,2023-07-19 05:13:17 -0400,InBed,0
2023-07-19 05:13:17 -0400,2023-07-19 05:15:17 -0400,Awake,0
2023-07-19 05:15:17 -0400,2023-07-19 05:22:17 -0400,AsleepCore,1
2023-07-19 05:22:17 -0400,2023-07-19 05:38:47 -0400,AsleepREM,1
2023-07-19 05:38:47 -0400,2023-07-19 05:39:17 -0400,AsleepCore,1
2023-07-19 05:39:17 -0400,2023-07-19 05:45:47 -0400,AsleepREM,1
2023-07-19 05:15:17 -0400,2023-07-19 05:45:47 -0400,InBed,0
2023-07-19 05:45:47 -0400,2023-07-19 05:46:17 -0400,Awake,0
2023-07-19 05:46:17 -0400,2023-07-19 06:51:17 -0400,AsleepCore,1
2023-07-19 06:51:17 -0400,2023-07-19 07:24:17 -0400,AsleepREM,1
2023-07-19 05:46:17 -0400,2023-07-19 07:24:17 -0400,InBed,0
2023-07-19 07:24:17 -0400,2023-07-19 07:25:17 -0400,Awake,0
2023-07-19 07:25:17 -0400,2023-07-19 07:56:17 -0400,AsleepCore,1
2023-07-19 07:25:17 -0400,2023-07-19 07:56:17 -0400,InBed,0
2023-07-19 01:18:13 -0400,2023-07-19 08:00:56 -0400,InBed,0
2023-07-19 22:56:09 -0400,2023-07-19 23:22:24 -0400,InBed,0
2023-07-19 23:22:50 -0400,2023-07-19 23:52:28 -0400,InBed,0
2023-07-19 23:52:33 -0400,2023-07-19 23:52:34 -0400,InBed,0
2023-07-19 23:52:52 -0400,2023-07-20 00:03:22 -0400,InBed,0
2023-07-20 00:03:26 -0400,2023-07-20 00:03:28 -0400,InBed,0
2023-07-20 00:50:41 -0400,2023-07-20 01:04:11 -0400,AsleepCore,1
2023-07-20 01:04:11 -0400,2023-07-20 01:18:11 -0400,AsleepDeep,1
2023-07-20 00:50:41 -0400,2023-07-20 01:18:11 -0400,InBed,0
2023-07-20 01:18:11 -0400,2023-07-20 01:18:41 -0400,Awake,0
2023-07-20 01:18:41 -0400,2023-07-20 01:25:41 -0400,AsleepCore,1
2023-07-20 01:25:41 -0400,2023-07-20 01:42:41 -0400,AsleepDeep,1
2023-07-20 01:42:41 -0400,2023-07-20 01:44:41 -0400,AsleepCore,1
2023-07-20 01:44:41 -0400,2023-07-20 01:49:11 -0400,AsleepREM,1
2023-07-20 01:18:41 -0400,2023-07-20 01:49:11 -0400,InBed,0
2023-07-20 01:49:11 -0400,2023-07-20 01:50:11 -0400,Awake,0
2023-07-20 01:50:11 -0400,2023-07-20 01:50:41 -0400,AsleepCore,1
2023-07-20 01:50:41 -0400,2023-07-20 02:06:41 -0400,AsleepREM,1
2023-07-20 01:50:11 -0400,2023-07-20 02:06:41 -0400,InBed,0
2023-07-20 02:06:41 -0400,2023-07-20 02:07:41 -0400,Awake,0
2023-07-20 02:07:41 -0400,2023-07-20 02:34:41 -0400,AsleepCore,1
2023-07-20 02:34:41 -0400,2023-07-20 02:56:41 -0400,AsleepDeep,1
2023-07-20 02:56:41 -0400,2023-07-20 03:11:11 -0400,AsleepCore,1
2023-07-20 02:07:41 -0400,2023-07-20 03:11:11 -0400,InBed,0
2023-07-20 03:11:11 -0400,2023-07-20 03:13:41 -0400,Awake,0
2023-07-20 03:13:41 -0400,2023-07-20 03:17:41 -0400,AsleepCore,1
2023-07-20 03:17:41 -0400,2023-07-20 03:26:41 -0400,AsleepREM,1
2023-07-20 03:13:41 -0400,2023-07-20 03:26:41 -0400,InBed,0
2023-07-20 03:26:41 -0400,2023-07-20 03:27:11 -0400,Awake,0
2023-07-20 03:27:11 -0400,2023-07-20 03:39:41 -0400,AsleepCore,1
2023-07-20 03:27:11 -0400,2023-07-20 03:39:41 -0400,InBed,0
2023-07-20 03:39:41 -0400,2023-07-20 03:40:11 -0400,Awake,0
2023-07-20 03:40:11 -0400,2023-07-20 04:19:41 -0400,AsleepCore,1
2023-07-20 04:19:41 -0400,2023-07-20 04:33:41 -0400,AsleepDeep,1
2023-07-20 04:33:41 -0400,2023-07-20 04:38:11 -0400,AsleepCore,1
2023-07-20 04:38:11 -0400,2023-07-20 04:39:41 -0400,AsleepDeep,1
2023-07-20 04:39:41 -0400,2023-07-20 04:41:11 -0400,AsleepCore,1
2023-07-20 03:40:11 -0400,2023-07-20 04:41:11 -0400,InBed,0
2023-07-20 04:41:11 -0400,2023-07-20 04:45:41 -0400,Awake,0
2023-07-20 04:45:41 -0400,2023-07-20 05:01:11 -0400,AsleepCore,1
2023-07-20 05:01:11 -0400,2023-07-20 05:02:11 -0400,AsleepREM,1
2023-07-20 05:02:11 -0400,2023-07-20 05:02:41 -0400,AsleepCore,1
2023-07-20 04:45:41 -0400,2023-07-20 05:02:41 -0400,InBed,0
2023-07-20 05:02:41 -0400,2023-07-20 05:03:11 -0400,Awake,0
2023-07-20 05:03:11 -0400,2023-07-20 05:08:11 -0400,AsleepCore,1
2023-07-20 05:08:11 -0400,2023-07-20 05:35:41 -0400,AsleepREM,1
2023-07-20 05:35:41 -0400,2023-07-20 06:32:11 -0400,AsleepCore,1
2023-07-20 06:32:11 -0400,2023-07-20 06:36:41 -0400,AsleepREM,1
2023-07-20 06:36:41 -0400,2023-07-20 06:39:41 -0400,AsleepCore,1
2023-07-20 06:39:41 -0400,2023-07-20 07:04:41 -0400,AsleepREM,1
